SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME
1710117;RJ;Sudeste;EMAD II;True
5649;AC;Norte;EMAD I;True
1710125;RJ;Sudeste;EMAP;True
1465465;RN;Nordeste;EMAD I;False
113751;RN;Nordeste;EMAD I;False
113778;RN;Nordeste;EMAP;True
1682776;GO;Centro-Oeste;EMAD II;True
1682784;GO;Centro-Oeste;EMAP;True
1527789;MG;Sudeste;EMAD I;True
1676253;MG;Sudeste;EMAP;True
2275899;SP;Sudeste;EMAD I;False
2294850;PE;Nordeste;EMAD I;False
2294869;PE;Nordeste;EMAD II;True
2294877;PE;Nordeste;EMAP;True
1540505;PA;Norte;EMAD II;True
1695983;BA;Nordeste;EMAD II;False
1540513;PA;Norte;EMAP;True
1696009;BA;Nordeste;EMAP;False
2282151;CE;Nordeste;EMAD II;True
2282178;CE;Nordeste;EMAP;False
1624121;PB;Nordeste;EMAD I;False
1624148;PB;Nordeste;EMAP;True
2229323;RJ;Sudeste;EMAP;True
308374;RJ;Sudeste;EMAD I;False
2244438;GO;Centro-Oeste;EMAD II;False
2241420;GO;Centro-Oeste;EMAP;True
2257491;CE;Nordeste;EMAP;False
1683896;GO;Centro-Oeste;EMAD II;True
1683918;GO;Centro-Oeste;EMAP;False
2244748;SC;Sul;EMAD I;False
2229609;CE;Nordeste;EMAD I;False
1681184;SC;Sul;EMAP;True
1603051;SP;Sudeste;EMAD I;False
1479288;PE;Nordeste;EMAP;False
1708473;RJ;Sudeste;EMAP;True
1549251;SP;Sudeste;EMAD I;True
2210029;PI;Nordeste;EMAD I;True
2237954;BA;Nordeste;EMAD II;True
473499;PR;Sul;EMAD I;False
1711636;MG;Sudeste;EMAD II;True
2150409;MA;Nordeste;EMAD II;True
2150417;MA;Nordeste;EMAP;True
1479385;SP;Sudeste;EMAP;True
1500473;MG;Sudeste;EMAD I;False
1523325;PB;Nordeste;EMAP;True
2231239;PE;Nordeste;EMAP;True
2231247;PE;Nordeste;EMAD II;False
2184257;MT;Centro-Oeste;EMAD II;True
2224186;BA;Nordeste;EMAD I;True
2224178;BA;Nordeste;EMAP;True
330396;SP;Sudeste;EMAD I;True
1709232;RJ;Sudeste;EMAD I;False
1709240;RJ;Sudeste;EMAP;True
1589105;SP;Sudeste;EMAD I;True
1589067;SP;Sudeste;EMAP;True
1707957;PR;Sul;EMAD I;False
1640615;SP;Sudeste;EMAP;True
1620363;MG;Sudeste;EMAD I;True
1710613;BA;Nordeste;EMAD I;False
1531824;SP;Sudeste;EMAP;True
1536249;PR;Sul;EMAD I;True
1505165;RN;Nordeste;EMAD I;False
1505203;RN;Nordeste;EMAP;True
1709550;PB;Nordeste;EMAD I;True
1520555;DF;Centro-Oeste;EMAP;True
1705903;AL;Nordeste;EMAD II;True
1705911;AL;Nordeste;EMAP;False
1486802;SP;Sudeste;EMAD I;False
1494120;MA;Nordeste;EMAD II;True
1494139;MA;Nordeste;EMAP;True
1577123;SP;Sudeste;EMAP;True
1709534;BA;Nordeste;EMAD II;True
2171686;PR;Sul;EMAD I;False
2240556;BA;Nordeste;EMAP;False
2248468;BA;Nordeste;EMAP;False
2248476;BA;Nordeste;EMAD I;False
